Period,Clock,Team,Fouler,Subtype,Descriptor,Official1,Official2,Official3,Home_Team,Home_Score,Away_Score,WinProb_Current,WinProb_Previous,Clock_Previous_WP
1,11:26,BKN,D'Angelo Russell,Personal Foul,Foul,Courtney Kirkland,Eric Dalen,Brandon Schwab,BKN,2,0,0.387,0.386,11:38
1,8:55,MIA,Haywood Highsmith,Shooting Foul,Foul,Courtney Kirkland,Eric Dalen,Brandon Schwab,BKN,4,4,0.406,0.369,9:02
1,8:29,MIA,Haywood Highsmith,Shooting Foul,Foul,Courtney Kirkland,Eric Dalen,Brandon Schwab,BKN,4,6,0.358,0.323,8:42
1,5:55,MIA,Duncan Robinson,Personal Foul,Foul,Courtney Kirkland,Eric Dalen,Brandon Schwab,BKN,8,12,0.283,0.284,6:03
1,4:58,BKN,Ziaire Williams,Shooting Foul,Foul,Courtney Kirkland,Eric Dalen,Brandon Schwab,BKN,8,12,0.232,0.262,5:03
1,3:59,BKN,Ziaire Williams,Personal Foul,Foul,Courtney Kirkland,Eric Dalen,Brandon Schwab,BKN,10,16,0.224,0.223,4:07
1,51.0,MIA,Nikola Jovic,Shooting Foul,Foul,Courtney Kirkland,Eric Dalen,Brandon Schwab,BKN,15,21,0.279,0.247,52.1
1,38.1,BKN,Tyrese Martin,Personal Foul,Foul,Courtney Kirkland,Eric Dalen,Brandon Schwab,BKN,17,21,0.237,0.268,51.0
2,11:54,BKN,Tosan Evbuomwan,Personal Foul,Foul,Courtney Kirkland,Eric Dalen,Brandon Schwab,BKN,17,24,0.206,0.216,12:00
2,11:43,BKN,Jalen Wilson,Shooting Foul,Foul,Courtney Kirkland,Eric Dalen,Brandon Schwab,BKN,17,26,0.157,0.185,11:43
2,10:57,MIA,Jaime Jaquez Jr.,Shooting Foul,Foul,Courtney Kirkland,Eric Dalen,Brandon Schwab,BKN,19,27,0.222,0.185,10:57
2,9:09,BKN,D'Angelo Russell,Shooting Foul,Foul,Courtney Kirkland,Eric Dalen,Brandon Schwab,BKN,25,27,0.287,0.324,9:21
2,7:26,MIA,Kel'el Ware,Shooting Foul,Foul,Courtney Kirkland,Eric Dalen,Brandon Schwab,BKN,27,33,0.288,0.251,7:38
2,7:13,BKN,Keon Johnson,Shooting Foul,Foul,Courtney Kirkland,Eric Dalen,Brandon Schwab,BKN,29,33,0.239,0.275,7:26
2,6:11,MIA,Jaime Jaquez Jr.,Shooting Foul,Foul,Courtney Kirkland,Eric Dalen,Brandon Schwab,BKN,32,37,0.316,0.277,6:32
2,5:08,BKN,Keon Johnson,Defensive 3-Seconds Technical,Foul,Courtney Kirkland,Eric Dalen,Brandon Schwab,BKN,37,40,0.31,0.304,5:26
2,3:50,MIA,Terry Rozier,Personal Foul,Foul,Courtney Kirkland,Eric Dalen,Brandon Schwab,BKN,37,44,0.266,0.226,3:54
2,3:21,MIA,Haywood Highsmith,Shooting Foul,Foul,Courtney Kirkland,Eric Dalen,Brandon Schwab,BKN,37,46,0.214,0.18,3:37
2,2:37,MIA,Tyler Herro,Personal Foul,Foul,Courtney Kirkland,Eric Dalen,Brandon Schwab,BKN,39,48,0.213,0.178,2:44
2,1:01,BKN,Ziaire Williams,Personal Foul,Foul,Courtney Kirkland,Eric Dalen,Brandon Schwab,BKN,46,51,0.21,0.249,1:14
2,45.1,BKN,Nic Claxton,Offensive Foul,Foul,Courtney Kirkland,Eric Dalen,Brandon Schwab,BKN,46,53,0.196,0.224,1:01
2,32.1,MIA,Nikola Jovic,Offensive Foul,Foul,Courtney Kirkland,Eric Dalen,Brandon Schwab,BKN,46,53,0.223,0.196,45.1
3,12:00,BKN,Nic Claxton,Away from Play Foul,Foul,Courtney Kirkland,Eric Dalen,Brandon Schwab,BKN,49,53,0.278,0.31,12:00
3,8:57,BKN,Jalen Wilson,Shooting Foul,Foul,Courtney Kirkland,Eric Dalen,Brandon Schwab,BKN,52,54,0.317,0.341,9:15
3,8:41,MIA,Kel'el Ware,Shooting Foul,Foul,Courtney Kirkland,Eric Dalen,Brandon Schwab,BKN,52,56,0.361,0.308,8:57
3,7:10,BKN,Nic Claxton,Offensive Foul,Foul,Courtney Kirkland,Eric Dalen,Brandon Schwab,BKN,59,61,0.342,0.38,7:26
3,5:44,BKN,Keon Johnson,Shooting Foul,Foul,Courtney Kirkland,Eric Dalen,Brandon Schwab,BKN,61,63,0.29,0.342,5:47
3,4:30,MIA,Duncan Robinson,Personal Foul,Foul,Courtney Kirkland,Eric Dalen,Brandon Schwab,BKN,61,68,0.205,0.205,4:31
3,4:14,MIA,Bam Adebayo,Shooting Foul,Foul,Courtney Kirkland,Eric Dalen,Brandon Schwab,BKN,61,68,0.253,0.205,4:30
3,3:22,BKN,Day'Ron Sharpe,Loose Ball Foul,Foul,Courtney Kirkland,Eric Dalen,Brandon Schwab,BKN,63,68,0.185,0.232,3:22
3,55.1,MIA,Nikola Jovic,Personal Foul,Foul,Courtney Kirkland,Eric Dalen,Brandon Schwab,BKN,65,78,0.08,0.057,1:08
3,35.0,BKN,D'Angelo Russell,Shooting Foul,Foul,Courtney Kirkland,Eric Dalen,Brandon Schwab,BKN,65,78,0.028,0.042,43.1
3,22.1,MIA,Bam Adebayo,Shooting Foul,Foul,Courtney Kirkland,Eric Dalen,Brandon Schwab,BKN,67,80,0.064,0.041,22.1
4,12:00,MIA,Jaime Jaquez Jr.,Personal Foul,Foul,Courtney Kirkland,Eric Dalen,Brandon Schwab,BKN,68,82,0.04,0.035,12:00
4,10:47,MIA,Duncan Robinson,Personal Foul,Foul,Courtney Kirkland,Eric Dalen,Brandon Schwab,BKN,68,84,0.02,0.018,10:53
4,10:00,MIA,Terry Rozier,Personal Foul,Foul,Courtney Kirkland,Eric Dalen,Brandon Schwab,BKN,68,86,0.01,0.009,10:13
4,9:38,MIA,Bam Adebayo,Offensive Foul,Foul,Courtney Kirkland,Eric Dalen,Brandon Schwab,BKN,68,86,0.009,0.006,9:46
4,9:09,BKN,Ziaire Williams,Personal Foul,Foul,Courtney Kirkland,Eric Dalen,Brandon Schwab,BKN,70,86,0.01,0.011,9:22
4,8:16,MIA,Nikola Jovic,Shooting Foul,Foul,Courtney Kirkland,Eric Dalen,Brandon Schwab,BKN,70,88,0.01,0.005,8:21
4,7:33,MIA,Duncan Robinson,Shooting Foul,Foul,Courtney Kirkland,Eric Dalen,Brandon Schwab,BKN,72,88,0.019,0.01,7:37
4,7:24,BKN,Keon Johnson,Shooting Foul,Foul,Courtney Kirkland,Eric Dalen,Brandon Schwab,BKN,74,88,0.007,0.015,7:33
4,1:03,MIA,Bam Adebayo,Personal Foul,Foul,Courtney Kirkland,Eric Dalen,Brandon Schwab,BKN,89,102,0.002,0.001,1:14
4,38.1,BKN,Noah Clowney,Personal Foul,Foul,Courtney Kirkland,Eric Dalen,Brandon Schwab,BKN,94,102,0.001,0.007,44.1
4,36.0,BKN,Keon Johnson,Personal Foul,Foul,Courtney Kirkland,Eric Dalen,Brandon Schwab,BKN,94,102,0.001,0.001,38.1
4,20.1,BKN,Keon Johnson,Personal Foul,Foul,Courtney Kirkland,Eric Dalen,Brandon Schwab,BKN,97,104,0.001,0.008,29.1
